tier,s1,s2,text,match,group_num,occ_num
underlying_full_phrase,368.159,373.715,mnnnsndmmmgmpmggrs,no match,,
underlying_full_phrase,376.504,381.133,nnnsndmgmnns,no match,,
underlying_full_phrase,381.528,386.014,sssndmnnsns,no match,,
underlying_full_phrase,405.863,410.591,nnnsndmgmnns,no match,,
underlying_full_phrase,410.8,414.366,sssndmnnsns,match,10.0,11.0
underlying_full_phrase,421.577,425.248,sssndmnnsns,no match,,
underlying_full_phrase,425.353,431.971,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,432.271,435.688,sssndmnnsns,match,15.0,16.0
underlying_full_phrase,436.186,441.475,grsssnrsnndmgmn,no match,,
underlying_full_phrase,441.654,446.576,ssnsrsndmmgmpmggrs,no match,,
underlying_full_phrase,446.944,451.942,grsssnrsnndmgmn,no match,,
underlying_full_phrase,452.423,456.867,ssnsrsndmmgmpmggrs,match,15.0,8.0
underlying_full_phrase,457.812,462.967,grsssnrsnndmgmn,match,15.0,6.0
underlying_full_phrase,463.194,467.639,ssnsrsndmmgmpmggrs,match,11.0,3.0
underlying_full_phrase,473.418,479.629,nrsnsndmgmpmgrgmgmn,no match,,
