,tier,s1,s2,text,match_melodia,match_melodia_mix,match_ftanet,match_ftanet_mix,match_melodia_spleeter,match_melodia_spleeter_mix,group_num_melodia,group_num_melodia_mix,group_num_ftanet,group_num_ftanet_mix,group_num_melodia_spleeter,group_num_melodia_spleeter_mix,occ_num_melodia,occ_num_melodia_mix,occ_num_ftanet,occ_num_ftanet_mix,occ_num_melodia_spleeter,occ_num_melodia_spleeter_mix
89,underlying_full_phrase,87.228,90.45700000000001,smmggmggrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
90,underlying_full_phrase,90.787,95.35799999999999,nnsndmmmgmpgpmgrs,match,no match,match,match,match,no match,30.0,,30.0,41.0,32.0,,0.0,,0.0,0.0,0.0,
91,underlying_full_phrase,95.62799999999999,98.44200000000001,sssnnpn,match,match,match,match,match,match,1.0,1.0,3.0,4.0,1.0,1.0,9.0,18.0,7.0,0.0,10.0,8.0
92,underlying_full_phrase,98.685,101.557,smmggmggrs,no match,match,match,no match,no match,match,,1.0,11.0,,,1.0,,2.0,1.0,,,11.0
93,underlying_full_phrase,102.335,106.87799999999999,nnsndmmmgmpgpmgrs,match,no match,match,match,match,no match,30.0,,30.0,41.0,32.0,,1.0,,1.0,1.0,1.0,
94,underlying_full_phrase,107.11399999999999,109.742,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,4.0,1.0,,4.0,,4.0,5.0,3.0,
95,underlying_full_phrase,110.042,112.428,smmggmggrs,match,match,match,match,no match,match,2.0,1.0,1.0,1.0,,1.0,6.0,1.0,5.0,13.0,,7.0
96,underlying_full_phrase,112.95700000000001,118.322,sgrgmmgmmnnssss,no match,no match,no match,match,no match,no match,,,,42.0,,,,,,1.0,,
97,underlying_full_phrase,118.38799999999999,125.085,nrsnsndmgmpmgrgmgmn,no match,no match,match,match,match,no match,,,43.0,57.0,41.0,,,,1.0,1.0,3.0,
98,underlying_full_phrase,125.156,129.601,nnsndmmmgmpgpmgrs,no match,match,no match,match,no match,match,,11.0,,22.0,,12.0,,6.0,,1.0,,11.0
99,underlying_full_phrase,129.942,132.71200000000002,sssnnpn,match,no match,match,match,match,match,1.0,,3.0,4.0,1.0,2.0,6.0,,0.0,4.0,8.0,10.0
100,underlying_full_phrase,132.71200000000002,135.38299999999998,smmggmggrs,no match,no match,match,no match,no match,match,,,1.0,,,2.0,,,4.0,,,3.0
